,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
1275,Dodge,Dart SE,2015,66000,Gasoline,6-Speed M/T,Black,Black,False,Yes,12000,2023
1276,Land,Rover Range Rover P525 Westminster,2021,17945,Gasoline,8-Speed Automatic,Santorini Black Metallic,Ebony,False,No,89900,2023
1277,Nissan,370Z Base,2013,106700,Gasoline,6-Speed M/T,Red,Black,False,Yes,17500,2023
1278,Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,10-Speed A/T,Black,Black,False,Yes,55000,2023
1279,Mercedes-Benz,E-Class E 350,2012,59600,Gasoline,Transmission w/Dual Shift Mode,White,Beige,False,Yes,19900,2023
1280,Kia,Optima Hybrid EX,2012,117220,Hybrid,A/T,Black,Black,False,Yes,8900,2023
1281,Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,10-Speed A/T,Silver,Gray,False,Yes,67500,2023
1282,Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450,Gasoline,6-Speed M/T,White,Black,False,Yes,24325,2023
1283,Dodge,Ram 1500 SRT-10,2004,73000,Gasoline,6-Speed M/T,Black,Gray,False,Yes,22500,2023
1284,Scion,tC Anniversary Edition,2014,115000,Gasoline,6-Speed M/T,Silver,Silver,False,Yes,11495,2023
1285,Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000,Gasoline,8-Speed A/T,Black,Brown,False,Yes,49900,2023
1286,Lexus,LS 500 Base,2018,67296,Gasoline,"Automatic, 10-Spd",–,–,False,No,40900,2023
1287,Chevrolet,Suburban 1500 LT,2015,179200,Gasoline,6-Speed A/T,Black,–,True,Yes,16000,2023
1288,Maserati,GranTurismo Base,2015,28000,Gasoline,6-Speed A/T,White,Red,False,Yes,44999,2023
1289,Porsche,911 Carrera Turbo,2003,155000,Gasoline,6-Speed M/T,Black,Black,False,Yes,55000,2023
1290,Hyundai,Sonata Hybrid Base,2012,154000,Hybrid,A/T,Green,Gray,True,Yes,8500,2023
1291,Cadillac,CTS Luxury,2012,62500,Gasoline,6-Speed A/T,Red,Beige,True,Yes,18955,2023
1292,BMW,323 Ci,2000,177700,Gasoline,5-Speed A/T,Silver,Black,False,Yes,2500,2023
1293,Tesla,Model 3 Standard Range Plus,2019,83700,No,A/T,Black,Black,True,Yes,26000,2023
1294,Chevrolet,1500 Cheyenne Extended Cab,1995,120000,–,4-Speed A/T,White,Brown,True,Yes,6500,2023
1295,Nissan,370Z Touring,2012,65000,Gasoline,6-Speed M/T,Gray,Black,False,Yes,21500,2023
1296,Mercedes-Benz,GLS 450 Base 4MATIC,2018,62808,Gasoline,Automatic,Black,–,True,No,38598,2023
1297,Ford,Mustang GT Premium,2021,3000,Gasoline,6-Speed M/T,Red,Black,False,Yes,49500,2023
1298,Audi,Q5 2.0T Premium,2012,119000,Gasoline,A/T,Gray,–,False,Yes,12000,2023
1299,RAM,2500 Big Horn,2013,198868,Diesel,6-Speed A/T,Brown,Beige,False,Yes,25000,2023
1300,Dodge,Ram 1500 ST,2011,188000,Gasoline,A/T,Silver,Black,True,Yes,8500,2023
1301,Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405,Gasoline,A/T,Black,Black,False,Yes,10750,2023
1302,Dodge,Challenger SRT Hellcat,2016,8228,Gasoline,8-Speed A/T,Blue,Black,False,Yes,62500,2023
1303,Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101,Gasoline,A/T,Blue,Beige,False,Yes,42950,2023
1304,BMW,M4 Base,2018,10950,Gasoline,6-Speed M/T,White,White,False,Yes,60995,2023
1305,Mercedes-Benz,S-Class S 560 4MATIC,2018,63160,Gasoline,A/T,Black,–,True,Yes,47000,2023
1306,Land,Rover Range Rover 5.0L V8 Supercharged,2019,31866,Gasoline,"Automatic, 8-Spd",–,–,False,No,68900,2023
1307,Chevrolet,Express 3500 Base,2009,75000,Gasoline,A/T,White,Gray,False,Yes,18900,2023
1308,Toyota,4Runner TRD Pro,2016,98000,Gasoline,A/T,Black,Black,True,Yes,36000,2023
1309,Mazda,MX-5 Miata Grand Touring,2012,33576,Gasoline,6-Speed M/T,Red,Beige,False,Yes,18900,2023
1310,Volkswagen,Touareg VR6 Lux,2012,123200,Gasoline,A/T,Gray,Beige,True,Yes,12449,2023
1311,Jaguar,XJ Base,2013,112000,Gasoline,A/T,Blue,White,False,Yes,8800,2023
1312,Chevrolet,Camaro 2SS,2010,68000,Gasoline,6-Speed A/T,Gray,Gray,True,Yes,19500,2023
1313,INFINITI,G37 x,2012,120000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,True,Yes,14500,2023
1314,BMW,X6 xDrive50i,2019,45000,Gasoline,8-Speed A/T,Silver,Black,True,Yes,46999,2023
1315,Chevrolet,Camaro LT1,2022,6700,Gasoline,10-Speed A/T,Gray,Black,False,Yes,39500,2023
1316,Porsche,Taycan Base,2021,6785,No,2-Speed Automatic,Gentian Blue Metallic,Black,False,No,108900,2023
1317,Mercedes-Benz,S-Class S 63 AMG,2015,40900,Gasoline,7-Speed A/T,White,–,False,Yes,59750,2023
1318,Cadillac,Escalade ESV Premium Luxury,2018,74150,Gasoline,10-Speed A/T,Gold,Brown,False,Yes,45000,2023
1319,Toyota,Camry Hybrid XLE,2014,94448,Hybrid,A/T,Silver,Gray,False,Yes,15999,2023
1320,Audi,A6 3.0T Prestige,2015,108000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,False,Yes,19998,2023
1321,BMW,X5 M Base,2012,118000,Gasoline,Transmission w/Dual Shift Mode,White,Orange,True,Yes,17000,2023
1322,Jaguar,F-PACE SVR,2020,38800,Gasoline,Transmission w/Dual Shift Mode,Black,Black,False,Yes,57500,2023
1323,BMW,740 i,2017,55000,Gasoline,Transmission w/Dual Shift Mode,White,Black,False,Yes,40000,2023
1324,BMW,M340 i xDrive,2021,34967,Hybrid,8-Speed A/T,Blue,Beige,True,Yes,49999,2023
1325,Jeep,Wrangler Unlimited Sport,2016,85325,Gasoline,5-Speed A/T,Black,Black,False,Yes,30000,2023
1326,RAM,2500 Tradesman,2018,63750,Gasoline,6-Speed A/T,Gray,Gray,False,Yes,36000,2023
1327,Ford,Mustang V6,2016,87248,Gasoline,6-Speed A/T,Black,Black,False,Yes,19999,2023
1328,BMW,328 i,1997,206000,Gasoline,5-Speed M/T,Red,Black,True,Yes,15900,2023
1329,Mercedes-Benz,GL-Class GL 450,2011,112854,Gasoline,7-Speed A/T,White,Black,False,Yes,11999,2023
1330,Rivian,R1S Adventure Package,2023,1150,No,A/T,Green,Black,False,Yes,96850,2023
1331,Tesla,Model Y Long Range,2023,10000,No,A/T,Blue,Black,False,Yes,48000,2023
1332,Mercedes-Benz,E-Class E 350,2022,14100,Gasoline,9-Speed A/T,Gray,Black,False,Yes,53000,2023
1333,BMW,X7 xDrive40i,2023,14360,Hybrid,8-Speed A/T,Black,Black,False,Yes,85495,2023
1334,Chevrolet,Trailblazer RS,2023,10000,Gasoline,9-Speed A/T,Blue,Black,False,Yes,32000,2023
1335,Chevrolet,Suburban 1500 LTZ,2015,217500,Gasoline,A/T,Black,Black,False,Yes,20000,2023
1336,Chevrolet,Suburban Premier,2021,73846,Gasoline,10-Speed Automatic,Midnight Blue Metallic,Jet Black,False,Yes,60995,2023
1337,Jeep,Gladiator Overland,2020,40000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,False,Yes,45000,2023
1338,GMC,Yukon XL AT4,2023,9980,Gasoline,10-Speed A/T,Black,Black,False,Yes,82000,2023
1339,Mazda,Mazda6 Grand Touring Reserve,2019,41997,Gasoline,6-Speed A/T,Black,Black,False,Yes,24995,2023
1340,Alfa,Romeo Giulia Ti,2021,2000,Gasoline,8-Speed A/T,Blue,Brown,False,Yes,39000,2023
1341,Mercedes-Benz,CLA-Class CLA 250,2016,42750,Gasoline,Transmission w/Dual Shift Mode,Black,Black,True,Yes,22999,2023
1342,BMW,330 330i xDrive,2019,19473,Gasoline,Automatic,Alpine White,Canberra Beige,False,No,31698,2023
1343,Volkswagen,Beetle 2.0T S,2019,35340,Gasoline,A/T,Black,Gray,False,Yes,23000,2023
1344,Mercedes-Benz,CLK-Class CLK 350,2008,93000,Gasoline,7-Speed A/T,White,Beige,True,Yes,12000,2023
1345,Audi,RS 7 4.0T Prestige,2014,66150,Gasoline,8-Speed A/T,White,Black,True,Yes,47995,2023
1346,Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352,Plug-In Hybrid,8-Speed A/T,Blue,Beige,False,Yes,54599,2023
1347,Land,Rover Range Rover Supercharged LWB,2020,81000,Gasoline,A/T,Black,Black,False,Yes,64800,2023
1348,Toyota,Sequoia Limited,2011,183000,Gasoline,6-Speed A/T,Gold,Beige,False,Yes,16000,2023
1349,Jeep,Wrangler X,2004,44000,Gasoline,M/T,Green,Green,True,Yes,24999,2023
1350,Audi,S5 3.0T Premium,2021,18100,Gasoline,8-Speed A/T,Gray,Gray,False,Yes,51800,2023
1351,Land,Rover Range Rover Sport Supercharged,2011,40000,Gasoline,Transmission w/Dual Shift Mode,Blue,Brown,True,Yes,20000,2023
1352,Mercedes-Benz,Sprinter 2500,2011,120000,Diesel,5-Speed A/T,Black,Gray,False,Yes,31999,2023
1353,Toyota,Sequoia Platinum,2023,325,Hybrid,10-Speed A/T,Blue,Gray,False,Yes,84997,2023
1354,Maserati,Quattroporte S GranLusso,2017,55000,Gasoline,A/T,Blue,Black,False,Yes,39100,2023
1355,Toyota,Land Cruiser Base,1996,233000,–,A/T,Blue,Gray,False,Yes,7500,2023
1356,Lamborghini,Aventador SVJ Base,2021,6987,Gasoline,7-Speed,–,Nero Ade,False,Yes,749950,2023
1357,Ford,Mustang Bullitt,2019,48500,Gasoline,6-Speed M/T,Black,Black,True,Yes,44999,2023
1358,RAM,2500 Tradesman,2018,52000,Diesel,6-Speed A/T,Gray,Black,False,Yes,50000,2023
1359,Toyota,FJ Cruiser Base,2007,179000,Gasoline,A/T,Silver,Black,True,Yes,17900,2023
1360,Dodge,Charger Scat Pack,2019,42626,Gasoline,8-Speed A/T,Silver,Red,False,Yes,42000,2023
